Order Date,Category,Website,Condition,List Price Per Unit,Purchase Price Per Unit,Quantity,Item Subtotal,Item Subtotal Tax,Item Total,Tax Exemption Applied,Tax Exemption Type,Exemption Opt-Out,Currency,Group Name
1/5/19,Health and Beauty,Amazon.com,new,$10.25 ,$9.70 ,1,$9.70 ,$0.58 ,$10.28 ,,,,USD,
1/5/19,,Amazon.com,new,$11.99 ,$11.99 ,1,$11.99 ,$0.00 ,$11.99 ,,,,USD,
1/5/19,Misc.,Amazon.com,new,$0.00 ,$6.00 ,1,$6.00 ,$0.00 ,$6.00 ,,,,USD,
1/5/19,Misc.,Amazon.com,new,$0.00 ,$14.52 ,1,$14.52 ,$0.00 ,$14.52 ,,,,USD,
1/5/19,Tools & Home Improvement,Amazon.com,new,$0.00 ,$43.99 ,1,$43.99 ,$0.00 ,$43.99 ,,,,USD,
1/5/19,Health and Beauty,Amazon.com,new,$19.99 ,$11.98 ,1,$11.98 ,$0.00 ,$11.98 ,,,,USD,
1/5/19,Health and Beauty,Amazon.com,new,$80.00 ,$12.98 ,1,$12.98 ,$0.00 ,$12.98 ,,,,USD,
1/5/19,Hardcover,Amazon.com,used acceptable,$26.99 ,$6.05 ,1,$6.05 ,$0.00 ,$6.05 ,,,,USD,
1/10/19,Tools & Home Improvement,Amazon.com,new,$9.99 ,$8.99 ,1,$8.99 ,$0.54 ,$9.53 ,,,,USD,
1/10/19,Paperback,Amazon.com,new,$21.95 ,$14.55 ,1,$14.55 ,$0.87 ,$15.42 ,,,,USD,
1/10/19,Home,Amazon.com,new,$0.00 ,$8.99 ,1,$8.99 ,$0.00 ,$8.99 ,,,,USD,
1/10/19,Paperback,Amazon.com,new,$15.99 ,$10.68 ,1,$10.68 ,$0.64 ,$11.32 ,,,,USD,
1/10/19,Office Product,Amazon.com,new,$31.49 ,$13.52 ,1,$13.52 ,$0.81 ,$14.33 ,,,,USD,
1/17/19,Health and Beauty,Amazon.com,new,$29.99 ,$29.99 ,1,$29.99 ,$0.00 ,$29.99 ,,,,USD,
1/17/19,Electronics,Amazon.com,new,$5.99 ,$5.98 ,1,$5.98 ,$0.36 ,$6.34 ,,,,USD,
1/17/19,Health and Beauty,Amazon.com,new,$59.95 ,$24.95 ,1,$24.95 ,$0.00 ,$24.95 ,,,,USD,
1/17/19,Wireless Phone Accessory,Amazon.com,new,$9.99 ,$9.99 ,1,$9.99 ,$0.60 ,$10.59 ,,,,USD,
1/17/19,Misc.,Amazon.com,new,$8.99 ,$8.86 ,1,$8.86 ,$0.00 ,$8.86 ,,,,USD,
1/17/19,Health and Beauty,Amazon.com,new,$30.00 ,$24.00 ,1,$24.00 ,$1.44 ,$25.44 ,,,,USD,
1/20/19,Electronics,Amazon.com,new,$5.99 ,$0.00 ,1,$0.00 ,$0.00 ,$0.00 ,,,,USD,
1/20/19,Electronics,Amazon.com,new,$5.99 ,$0.00 ,1,$0.00 ,$0.00 ,$0.00 ,,,,USD,
1/20/19,Health and Beauty,Amazon.com,new,$29.99 ,$29.99 ,1,$29.99 ,$0.00 ,$29.99 ,,,,USD,
1/20/19,Apparel,Amazon.com,new,$0.00 ,$16.99 ,1,$16.99 ,$0.00 ,$16.99 ,,,,USD,
1/20/19,Apparel,Amazon.com,new,$0.00 ,$27.99 ,1,$27.99 ,$0.00 ,$27.99 ,,,,USD,
1/20/19,Apparel,Amazon.com,new,$23.00 ,$15.80 ,1,$15.80 ,$0.00 ,$15.80 ,,,,USD,
1/20/19,Wireless Phone Accessory,Amazon.com,new,$9.99 ,$9.99 ,1,$9.99 ,$0.60 ,$10.59 ,,,,USD,
1/20/19,Apparel,Amazon.com,new,$11.50 ,$11.40 ,1,$11.40 ,$0.68 ,$12.08 ,,,,USD,
1/20/19,Health and Beauty,Amazon.com,new,$59.95 ,$24.95 ,0,$0.00 ,$0.00 ,$0.00 ,,,,USD,
1/29/19,Apparel,Amazon.com,new,$0.00 ,$28.99 ,1,$28.99 ,$0.00 ,$28.99 ,,,,USD,
1/29/19,Grocery,Amazon.com,new,$10.98 ,$28.99 ,1,$28.99 ,$0.00 ,$28.99 ,,,,USD,
1/29/19,Health and Beauty,Amazon.com,new,$42.46 ,$42.46 ,1,$42.46 ,$0.00 ,$42.46 ,,,,USD,
2/2/19,Sports,Amazon.com,new,$0.00 ,$14.77 ,1,$14.77 ,$0.00 ,$14.77 ,,,,USD,
2/2/19,Misc.,Amazon.com,new,$42.97 ,$21.97 ,1,$21.97 ,$1.32 ,$23.29 ,,,,USD,
2/3/19,Grocery,Amazon.com,new,$0.00 ,$16.99 ,1,$16.99 ,$0.00 ,$16.99 ,,,,USD,
